id;org_name;org_size;org_city;org_state;org_address_1;org_address_2;org_admin;org_company_size;created_by;create_time;updated_by;update_time
1;Intelligent open-source Kentucky;LARGE;Card;Concrete;Ergonomic withdrawal Ruble;Borders functionalities Summit;69302;MID;73643;2021-04-28T19:55:58;22529;2021-04-29T04:03:20
2;violet withdrawal global;MID;Utah Sleek bypassing;revolutionize cross-platform generate;Franc;Sierra People's;25461;LARGE;74510;2021-04-29T12:56:55;22880;2021-04-29T05:19:21
3;Croatia Compatible;LARGE;capacitor architect;incubate;cross-platform;Chicken Rustic;83658;LARGE;9180;2021-04-29T02:23:13;92276;2021-04-28T21:19:47
4;blue Rustic;SMALL;invoice Creative;Intelligent calculate Mouse;value-added Fish;deposit Multi-channelled;53932;LARGE;75564;2021-04-29T14:42:48;29752;2021-04-28T17:01:40
5;recontextualize;LARGE;Roads microchip Villages;Checking;driver Account Salad;Wells;17345;MID;91687;2021-04-29T07:59:50;82904;2021-04-28T17:33:07
6;Beauty;LARGE;cross-platform enterprise ivory;olive Supervisor;Customizable generate;high-level impactful;30450;MID;66514;2021-04-29T14:24:40;59316;2021-04-28T21:20:23
7;frame Functionality back-end;MID;Account Oklahoma;gold;Configuration;pink Soft contextually-based;99629;MID;41799;2021-04-29T07:46:41;81240;2021-04-29T05:45:05
8;Steel;LARGE;optical Plastic;embrace Unbranded Granite;XSS Regional Quality-focused;Phased;73152;LARGE;65136;2021-04-29T11:16:10;34918;2021-04-28T23:44:27
9;invoice;LARGE;known Baby;eyeballs bus payment;transmitting sensor;Account ROI sensor;66648;MID;84948;2021-04-29T01:30:14;11407;2021-04-29T14:01:22
10;reinvent;LARGE;New;JSON;hacking Account;Senior archive Representative;61360;MID;33081;2021-04-29T06:41:26;15357;2021-04-29T10:23:31
